"","prim_state","area_name","tot_emp","emp_prse","jobs_1000","loc_quotient","mor","high_emp","low_emp"
"57","NY","Syracuse, NY",440,6.8,"1.447","1.41",17.3704924300891,516.430166692392,363.569833307608
"58","WA","Olympia, WA",140,17.6,"1.446","1.4",22.0581363801184,170.881390932166,109.118609067834
"59","MI","Ann Arbor, MI",290,9,"1.437","1.4",18.9489658168809,344.952000868954,235.047999131046
"60","IN","Bloomington, IN",100,3.6,"1.429","1.39",23.6622187404758,123.662218740476,76.3377812595242
"61","LA","Alexandria, LA",90,18.9,"1.421","1.38",24.188104487933,111.76929403914,68.2307059608603
"62","IL","Peoria, IL",260,29,"1.413","1.37",19.3856203181494,310.402612827189,209.597387172811
"63","MD","Cumberland, MD-WV",50,18.4,"1.411","1.37",27.3438246553957,63.6719123276978,36.3280876723022
"64","DC","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",3340,2.4,"1.409","1.37",11.3803785094617,3720.10464221602,2959.89535778398
"65","NY","Rochester, NY",700,4.4,"1.407","1.37",15.7667768112725,810.367437678908,589.632562321092
"66","SC","Columbia, SC",480,2.5,"1.397","1.36",17.0580080261972,561.878438525746,398.121561474254
"67","NJ","Edison-New Brunswick, NJ Metropolitan Division",1370,18.2,"1.391","1.35",13.7057183081933,1557.76834082225,1182.23165917775
"68","CT","Waterbury, CT",90,10.8,"1.39","1.35",24.188104487933,111.76929403914,68.2307059608603
"69","IN","South Bend-Mishawaka, IN-MI",170,5.4,"1.385","1.34",21.1824883885925,206.010230260607,133.989769739393
"70","NH","Rochester-Dover, NH-ME",70,16.6,"1.377","1.34",25.4901630323883,87.8431141226718,52.1568858773282
"71","CO","Greeley, CO",120,5.3,"1.376","1.34",22.7790656219517,147.334878746342,92.665121253658
"72","MS","Pascagoula, MS",70,18.4,"1.375","1.34",25.4901630323883,87.8431141226718,52.1568858773282
"73","NY","Utica-Rome, NY",170,13.5,"1.372","1.33",21.1824883885925,206.010230260607,133.989769739393
"74","FL","Palm Bay-Melbourne-Titusville, FL",260,6,"1.363","1.32",19.3856203181494,310.402612827189,209.597387172811
"75","MO","Jefferson City, MO",100,13.6,"1.36","1.32",23.6622187404758,123.662218740476,76.3377812595242
"76","IL","Lake County-Kenosha County, IL-WI Metropolitan Division",510,20.5,"1.35","1.31",16.8436153862963,595.902438470111,424.097561529889
"77","ND","Bismarck, ND",90,13.6,"1.34","1.3",24.188104487933,111.76929403914,68.2307059608603
"78","MA","Leominster-Fitchburg-Gardner, MA",60,31.7,"1.332","1.29",26.3232616945993,75.7939570167596,44.2060429832404
"79","OR","Corvallis, OR",40,6.8,"1.327","1.29",28.6468956915596,51.4587582766238,28.5412417233762
"80","OH","Canton-Massillon, OH",220,8.7,"1.325","1.29",20.0731683024194,264.160970265323,175.839029734677
"81","WI","Fond du Lac, WI",60,12.2,"1.324","1.29",26.3232616945993,75.7939570167596,44.2060429832404
"82","FL","Deltona-Daytona Beach-Ormond Beach, FL",200,12.2,"1.319","1.28",20.4763087380186,240.952617476037,159.047382523963
"83","ME","Bangor, ME",80,10.4,"1.319","1.28",24.7898427024005,99.8318741619204,60.1681258380796
"84","RI","Providence-Fall River-Warwick, RI-MA",710,5,"1.315","1.28",15.7201865923702,821.613324805828,598.386675194172
"85","LA","Monroe, LA",100,4,"1.308","1.27",23.6622187404758,123.662218740476,76.3377812595242
"86","GA","Rome, GA",50,25,"1.304","1.27",27.3438246553957,63.6719123276978,36.3280876723022
"87","CT","Bridgeport-Stamford-Norwalk, CT",540,5.6,"1.295","1.26",16.6439491144372,629.877325217961,450.122674782039
"88","NJ","Trenton-Ewing, NJ",280,15.6,"1.29","1.25",19.0882019838661,333.446965554825,226.553034445175
"89","CT","Danbury, CT",90,20.4,"1.284","1.25",24.188104487933,111.76929403914,68.2307059608603
"90","PA","State College, PA",80,10.6,"1.283","1.25",24.7898427024005,99.8318741619204,60.1681258380796
"91","WV","Morgantown, WV",80,7.2,"1.278","1.24",24.7898427024005,99.8318741619204,60.1681258380796
"92","PA","Pittsburgh, PA",1440,9.4,"1.275","1.24",13.5639647797164,1635.32109282792,1244.67890717208
"93","VA","Virginia Beach-Norfolk-Newport News, VA-NC",920,8.9,"1.272","1.24",14.8929491282103,1057.01513197953,782.984868020465
"94","ME","Portland-South Portland-Biddeford, ME",250,6.6,"1.272","1.24",19.5448959548902,298.862239887226,201.137760112774
"95","IL","Kankakee-Bradley, IL",50,37.5,"1.271","1.23",27.3438246553957,63.6719123276978,36.3280876723022
"96","TN","Morristown, TN",60,9.6,"1.269","1.23",26.3232616945993,75.7939570167596,44.2060429832404
"97","SC","Anderson, SC",80,12,"1.268","1.23",24.7898427024005,99.8318741619204,60.1681258380796
"98","MA","Barnstable Town, MA",120,9,"1.267","1.23",22.7790656219517,147.334878746342,92.665121253658
"99","SC","Greenville-Mauldin-Easley, SC",380,8.6,"1.266","1.23",17.9099919599074,448.057969447648,311.942030552352
"100","NH","Nashua, NH-MA NECTA Division",170,5.8,"1.266","1.23",21.1824883885925,206.010230260607,133.989769739393
"101","VA","Richmond, VA",770,3.6,"1.265","1.23",15.4563583001524,889.013958911174,650.986041088826
"102","NC","Raleigh-Cary, NC",670,9.6,"1.258","1.22",15.9115223113841,776.607199486274,563.392800513727
"103","TN","Cleveland, TN",50,8.1,"1.243","1.21",27.3438246553957,63.6719123276978,36.3280876723022
"104","OH","Cleveland-Elyria-Mentor, OH",1250,13.5,"1.241","1.21",13.9703557458304,1424.62944682288,1075.37055317712
"105","MO","Springfield, MO",230,18.8,"1.241","1.21",19.8878711379948,275.742103617388,184.257896382612
"106","VA","Harrisonburg, VA",70,0,"1.241","1.21",25.4901630323883,87.8431141226718,52.1568858773282
"107","TX","El Paso, TX",350,6.1,"1.234","1.2",18.2199304822894,413.769756688013,286.230243311987
"108","NC","Greenville, NC",90,8.4,"1.229","1.19",24.188104487933,111.76929403914,68.2307059608603
"109","TX","Brownsville-Harlingen, TX",160,2.8,"1.223","1.19",21.4521080338496,194.323372854159,125.676627145841
"110","ID","Pocatello, ID",40,8,"1.221","1.19",28.6468956915596,51.4587582766238,28.5412417233762
"111","MD","Baltimore-Towson, MD",1560,3.9,"1.218","1.18",13.3393370401573,1768.09365782645,1351.90634217355
"112","WV","Parkersburg-Marietta-Vienna, WV-OH",80,13.1,"1.215","1.18",24.7898427024005,99.8318741619204,60.1681258380796
"113","TN","Clarksville, TN-KY",100,7.7,"1.212","1.18",23.6622187404758,123.662218740476,76.3377812595242
"114","TX","Killeen-Temple-Fort Hood, TX",160,11.6,"1.211","1.18",21.4521080338496,194.323372854159,125.676627145841
"115","GA","Albany, GA",70,13.9,"1.202","1.17",25.4901630323883,87.8431141226718,52.1568858773282
"116","IL","Decatur, IL",60,15.2,"1.198","1.16",26.3232616945993,75.7939570167596,44.2060429832404
"117","KY","Lexington-Fayette, KY",300,5.1,"1.192","1.16",18.8154150890801,356.44624526724,243.55375473276
"118","OH","Toledo, OH",350,11.6,"1.19","1.16",18.2199304822894,413.769756688013,286.230243311987
"119","UT","Logan, UT-ID",60,20.1,"1.183","1.15",26.3232616945993,75.7939570167596,44.2060429832404
"120","NJ","Newark-Union, NJ-PA Metropolitan Division",1130,13.2,"1.179","1.15",14.2676363684797,1291.22429096382,968.77570903618
"121","MA","Brockton-Bridgewater-Easton, MA NECTA Division",110,6.9,"1.178","1.14",23.1963536623348,135.515989028568,84.4840109714318
"122","AL","Anniston-Oxford, AL",50,13.8,"1.175","1.14",27.3438246553957,63.6719123276978,36.3280876723022
"123","TN","Jackson, TN",70,10.6,"1.174","1.14",25.4901630323883,87.8431141226718,52.1568858773282
"124","MS","Hattiesburg, MS",70,8,"1.173","1.14",25.4901630323883,87.8431141226718,52.1568858773282
"125","NC","Rocky Mount, NC",60,5.4,"1.173","1.14",26.3232616945993,75.7939570167596,44.2060429832404
"126","IN","Lafayette, IN",100,44.5,"1.171","1.14",23.6622187404758,123.662218740476,76.3377812595242
"127","WA","Spokane, WA",230,4.5,"1.17","1.14",19.8878711379948,275.742103617388,184.257896382612
"128","IL","Champaign-Urbana, IL",110,15.6,"1.164","1.13",23.1963536623348,135.515989028568,84.4840109714318
"129","AR","Fort Smith, AR-OK",130,7.4,"1.161","1.13",22.4018300493867,159.122379064203,100.877620935797
"130","TX","Abilene, TX",70,12.4,"1.155","1.12",25.4901630323883,87.8431141226718,52.1568858773282
"131","NH","Manchester, NH",120,7.1,"1.145","1.11",22.7790656219517,147.334878746342,92.665121253658
"132","NC","Greensboro-High Point, NC",390,4.1,"1.139","1.11",17.813195616066,459.471462902657,320.528537097343
"133","VA","Charlottesville, VA",110,7.2,"1.139","1.11",23.1963536623348,135.515989028568,84.4840109714318
"134","NY","Binghamton, NY",120,4,"1.138","1.11",22.7790656219517,147.334878746342,92.665121253658
"135","WI","La Crosse, WI-MN",80,11.5,"1.136","1.1",24.7898427024005,99.8318741619204,60.1681258380796
"136","WA","Yakima, WA",90,4.2,"1.132","1.1",24.188104487933,111.76929403914,68.2307059608603
"137","AR","Little Rock-North Little Rock-Conway, AR",380,9.3,"1.129","1.1",17.9099919599074,448.057969447648,311.942030552352
"138","AL","Montgomery, AL",180,3.9,"1.128","1.1",20.9313885867834,217.67649945621,142.32350054379
"139","IN","Terre Haute, IN",70,9.1,"1.124","1.09",25.4901630323883,87.8431141226718,52.1568858773282
"140","NJ","Ocean City, NJ",40,18.8,"1.124","1.09",28.6468956915596,51.4587582766238,28.5412417233762
"141","VA","Roanoke, VA",170,11.1,"1.118","1.09",21.1824883885925,206.010230260607,133.989769739393
"142","VA","Blacksburg-Christiansburg-Radford, VA",70,9.9,"1.117","1.09",25.4901630323883,87.8431141226718,52.1568858773282
"143","TX","Wichita Falls, TX",60,4.1,"1.116","1.08",26.3232616945993,75.7939570167596,44.2060429832404
"144","MO","Columbia, MO",100,16.8,"1.112","1.08",23.6622187404758,123.662218740476,76.3377812595242
"145","NC","Winston-Salem, NC",230,13.1,"1.111","1.08",19.8878711379948,275.742103617388,184.257896382612
"146","LA","Baton Rouge, LA",410,3.2,"1.105","1.07",17.6283050325089,482.276050633286,337.723949366714
"147","AL","Tuscaloosa, AL",100,20.3,"1.102","1.07",23.6622187404758,123.662218740476,76.3377812595242
"148","ME","Lewiston-Auburn, ME",50,21.3,"1.102","1.07",27.3438246553957,63.6719123276978,36.3280876723022
"149","MA","New Bedford, MA",70,29.9,"1.1","1.07",25.4901630323883,87.8431141226718,52.1568858773282
"150","AZ","Prescott, AZ",60,32.8,"1.096","1.06",26.3232616945993,75.7939570167596,44.2060429832404
"151","IL","Chicago-Joliet-Naperville, IL Metropolitan Division",4050,10.3,"1.094","1.06",10.9318236321827,4492.7388571034,3607.2611428966
"152","WA","Tacoma, WA Metropolitan Division",290,6.6,"1.093","1.06",18.9489658168809,344.952000868954,235.047999131046
"153","CO","Boulder, CO",180,4.8,"1.091","1.06",20.9313885867834,217.67649945621,142.32350054379
"154","CA","Yuba City, CA",40,23.8,"1.089","1.06",28.6468956915596,51.4587582766238,28.5412417233762
"155","NJ","Camden, NJ Metropolitan Division",550,10.2,"1.088","1.06",16.580354964122,641.191952302671,458.808047697329
"156","AR","Fayetteville-Springdale-Rogers, AR-MO",230,3.6,"1.086","1.06",19.8878711379948,275.742103617388,184.257896382612
"157","DE","Wilmington, DE-MD-NJ Metropolitan Division",350,5.6,"1.081","1.05",18.2199304822894,413.769756688013,286.230243311987
"158","CO","Fort Collins-Loveland, CO",150,1,"1.079","1.05",21.7429065573732,182.61435983606,117.38564016394
"159","MI","Monroe, MI",40,13.3,"1.075","1.04",28.6468956915596,51.4587582766238,28.5412417233762
"160","HI","Honolulu, HI",470,3.1,"1.068","1.04",17.1330978360869,550.525559829608,389.474440170392
"161","SC","Florence, SC",90,4.6,"1.068","1.04",24.188104487933,111.76929403914,68.2307059608603
"162","MO","Cape Girardeau-Jackson, MO-IL",40,14.1,"1.068","1.04",28.6468956915596,51.4587582766238,28.5412417233762
"163","NM","Santa Fe, NM",60,5,"1.067","1.04",26.3232616945993,75.7939570167596,44.2060429832404
"164","FL","West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",560,4,"1.065","1.03",16.5181431784635,652.501601799395,467.498398200605
"165","VA","Winchester, VA-WV",60,45.2,"1.062","1.03",26.3232616945993,75.7939570167596,44.2060429832404
"166","MN","St. Cloud, MN",100,7.7,"1.06","1.03",23.6622187404758,123.662218740476,76.3377812595242
"167","MA","Framingham, MA NECTA Division",170,10.6,"1.056","1.03",21.1824883885925,206.010230260607,133.989769739393
"168","CA","San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1100,5.1,"1.05","1.02",14.3479557413843,1257.82751315523,942.172486844773
"169","PA","Scranton--Wilkes-Barre, PA",260,13.9,"1.05","1.02",19.3856203181494,310.402612827189,209.597387172811
"170","NE","Omaha-Council Bluffs, NE-IA",480,5,"1.049","1.02",17.0580080261972,561.878438525746,398.121561474254
"171","LA","Lake Charles, LA",90,0,"1.045","1.01",24.188104487933,111.76929403914,68.2307059608603
"172","MA","Peabody, MA NECTA Division",110,14.7,"1.04","1.01",23.1963536623348,135.515989028568,84.4840109714318
"173","SD","Rapid City, SD",60,1.1,"1.039","1.01",26.3232616945993,75.7939570167596,44.2060429832404
"174","NY","New York-White Plains-Wayne, NY-NJ Metropolitan Division",5440,5.9,"1.038","1.01",10.2791688205007,5999.18678383524,4880.81321616476
"175","TX","Amarillo, TX",110,5.6,"1.038","1.01",23.1963536623348,135.515989028568,84.4840109714318
"176","KY","Elizabethtown, KY",50,4.9,"1.037","1.01",27.3438246553957,63.6719123276978,36.3280876723022
"177","WI","Janesville, WI",60,10.1,"1.035","1",26.3232616945993,75.7939570167596,44.2060429832404
"178","NC","Asheville, NC",180,4.8,"1.033","1",20.9313885867834,217.67649945621,142.32350054379
"179","IA","Davenport-Moline-Rock Island, IA-IL",190,15.3,"1.031","1",20.696608593747,229.323556328119,150.676443671881
"180","IN","Kokomo, IN",40,4.8,"1.031","1",28.6468956915596,51.4587582766238,28.5412417233762
"181","MO","Kansas City, MO-KS",1020,7.9,"1.03","1",14.5757704591023,1168.67285868284,871.327141317157
"182","AL","Gadsden, AL",40,12.4,"1.029","1",28.6468956915596,51.4587582766238,28.5412417233762
"183","PA","Philadelphia, PA Metropolitan Division",1890,7,"1.028","1",12.8158563295282,2132.21968462808,1647.78031537192
"184","OK","Oklahoma City, OK",610,16.1,"1.028","1",16.2260325266095,708.978798412318,511.021201587682
"185","TX","Austin-Round Rock-San Marcos, TX",880,5.4,"1.026","1",15.0317081348546,1012.27903158672,747.72096841328
"186","UT","Provo-Orem, UT",190,7.6,"1.025","1",20.696608593747,229.323556328119,150.676443671881
"187","MO","St. Louis, MO-IL",1320,5.7,"1.024","0.99",13.8124420604218,1502.32423519757,1137.67576480243
"188","IN","Indianapolis-Carmel, IN",930,10.2,"1.024","0.99",14.8593962605567,1068.19238522318,791.807614776823
"189","GA","Augusta-Richmond County, GA-SC",210,6.6,"1.015","0.99",20.2689360369367,252.564765677567,167.435234322433
"190","TN","Nashville-Davidson--Murfreesboro--Franklin, TN",800,3.9,"1.014","0.99",15.3335981640711,922.668785312568,677.331214687432
"191","VT","Burlington-South Burlington, VT",120,19,"1.011","0.98",22.7790656219517,147.334878746342,92.665121253658
"192","SC","Charleston-North Charleston-Summerville, SC",300,3.2,"1.009","0.98",18.8154150890801,356.44624526724,243.55375473276
"193","MT","Missoula, MT",60,6.6,"1.009","0.98",26.3232616945993,75.7939570167596,44.2060429832404
"194","FL","Lakeland-Winter Haven, FL",200,3.4,"1.007","0.98",20.4763087380186,240.952617476037,159.047382523963
"195","WA","Seattle-Bellevue-Everett, WA Metropolitan Division",1460,5.3,"1.005","0.98",13.5249879135559,1657.46482353792,1262.53517646208
"196","GA","Warner Robins, GA",60,10.6,"1.005","0.98",26.3232616945993,75.7939570167596,44.2060429832404
"197","TX","Sherman-Denison, TX",40,11.2,"1.004","0.98",28.6468956915596,51.4587582766238,28.5412417233762
"198","NC","Goldsboro, NC",40,16.8,"1.004","0.97",28.6468956915596,51.4587582766238,28.5412417233762
"199","MA","Lowell-Billerica-Chelmsford, MA-NH NECTA Division",120,10.2,"1.003","0.97",22.7790656219517,147.334878746342,92.665121253658
"200","MN","Mankato-North Mankato, MN",50,32,"1.002","0.97",27.3438246553957,63.6719123276978,36.3280876723022
"201","NC","Jacksonville, NC",40,3.7,"1.001","0.97",28.6468956915596,51.4587582766238,28.5412417233762
"202","KS","Wichita, KS",280,15.1,"0.998","0.97",19.0882019838661,333.446965554825,226.553034445175
"203","OR","Salem, OR",140,8.8,"0.995","0.97",22.0581363801184,170.881390932166,109.118609067834
"204","MS","Gulfport-Biloxi, MS",100,6.3,"0.995","0.97",23.6622187404758,123.662218740476,76.3377812595242
"205","FL","Pensacola-Ferry Pass-Brent, FL",150,4.6,"0.994","0.97",21.7429065573732,182.61435983606,117.38564016394
"206","IL","Springfield, IL",100,18.5,"0.993","0.96",23.6622187404758,123.662218740476,76.3377812595242
"207","NC","Charlotte-Gastonia-Rock Hill, NC-SC",870,2.2,"0.989","0.96",15.0675919812849,1001.08805023718,738.911949762821
"208","GA","Gainesville, GA",70,6.9,"0.989","0.96",25.4901630323883,87.8431141226718,52.1568858773282
"209","IA","Sioux City, IA-NE-SD",70,18.3,"0.988","0.96",25.4901630323883,87.8431141226718,52.1568858773282
"210","NY","Buffalo-Niagara Falls, NY",530,9.1,"0.987","0.96",16.7089828129381,618.557608908572,441.442391091428
"211","CO","Colorado Springs, CO",240,3.9,"0.987","0.96",19.7120644329437,287.308954639065,192.691045360935
"212","AZ","Flagstaff, AZ",60,7.7,"0.984","0.96",26.3232616945993,75.7939570167596,44.2060429832404
"213","CA","Santa Cruz-Watsonville, CA",80,8.3,"0.98","0.95",24.7898427024005,99.8318741619204,60.1681258380796
"214","TX","Waco, TX",100,4.6,"0.978","0.95",23.6622187404758,123.662218740476,76.3377812595242
"215","GA","Atlanta-Sandy Springs-Marietta, GA",2250,6.6,"0.975","0.95",12.3580526415883,2528.05618443574,1971.94381556426
"216","PA","Reading, PA",160,10.2,"0.972","0.94",21.4521080338496,194.323372854159,125.676627145841
"217","OH","Cincinnati-Middletown, OH-KY-IN",970,6,"0.971","0.94",14.7294177820999,1112.87535248637,827.124647513631
"218","NC","Hickory-Lenoir-Morganton, NC",140,6.1,"0.971","0.94",22.0581363801184,170.881390932166,109.118609067834
"219","MT","Billings, MT",80,7.9,"0.97","0.94",24.7898427024005,99.8318741619204,60.1681258380796
"220","TX","Fort Worth-Arlington, TX Metropolitan Division",880,13.9,"0.969","0.94",15.0317081348546,1012.27903158672,747.72096841328
"221","AL","Mobile, AL",160,22.8,"0.968","0.94",21.4521080338496,194.323372854159,125.676627145841
"222","TX","San Antonio-New Braunfels, TX",860,1.8,"0.967","0.94",15.1039778333734,989.894209367011,730.105790632989
"223","CA","Merced, CA",60,31.1,"0.966","0.94",26.3232616945993,75.7939570167596,44.2060429832404
"224","IN","Gary, IN Metropolitan Division",260,14.6,"0.964","0.94",19.3856203181494,310.402612827189,209.597387172811
"225","ND","Fargo, ND-MN",120,7.3,"0.964","0.94",22.7790656219517,147.334878746342,92.665121253658
"226","TX","Laredo, TX",90,8.9,"0.962","0.93",24.188104487933,111.76929403914,68.2307059608603
"227","TN","Memphis, TN-MS-AR",570,3.5,"0.961","0.93",16.4572598156846,663.806380949402,476.193619050598
"228","WA","Kennewick-Pasco-Richland, WA",90,5.5,"0.96","0.93",24.188104487933,111.76929403914,68.2307059608603
"229","OR","Portland-Vancouver-Hillsboro, OR-WA",980,6.3,"0.957","0.93",14.6979333169221,1124.03974650584,835.960253494163
"230","ID","Idaho Falls, ID",50,29.3,"0.955","0.93",27.3438246553957,63.6719123276978,36.3280876723022
"231","AK","Fairbanks, AK",30,0,"0.955","0.93",30.4188994290712,39.1256698287213,20.8743301712787
"232","MD","Hagerstown-Martinsburg, MD-WV",100,6,"0.954","0.93",23.6622187404758,123.662218740476,76.3377812595242
"233","TX","College Station-Bryan, TX",90,26.5,"0.953","0.93",24.188104487933,111.76929403914,68.2307059608603
"234","CO","Pueblo, CO",50,1.1,"0.952","0.92",27.3438246553957,63.6719123276978,36.3280876723022
"235","VA","Danville, VA",40,24,"0.951","0.92",28.6468956915596,51.4587582766238,28.5412417233762
"236","IA","Waterloo-Cedar Falls, IA",90,11.9,"0.95","0.92",24.188104487933,111.76929403914,68.2307059608603
"237","IA","Cedar Rapids, IA",130,15.1,"0.949","0.92",22.4018300493867,159.122379064203,100.877620935797
"238","AR","Pine Bluff, AR",30,3,"0.935","0.91",30.4188994290712,39.1256698287213,20.8743301712787
"239","TN","Johnson City, TN",70,11.3,"0.929","0.9",25.4901630323883,87.8431141226718,52.1568858773282
"240","ID","Boise City-Nampa, ID",250,11.4,"0.927","0.9",19.5448959548902,298.862239887226,201.137760112774
"241","OR","Eugene-Springfield, OR",130,9.2,"0.926","0.9",22.4018300493867,159.122379064203,100.877620935797
"242","TX","Beaumont-Port Arthur, TX",140,8.3,"0.925","0.9",22.0581363801184,170.881390932166,109.118609067834
"243","WY","Cheyenne, WY",40,0,"0.922","0.9",28.6468956915596,51.4587582766238,28.5412417233762
"244","OH","Columbus, OH",860,23.5,"0.917","0.89",15.1039778333734,989.894209367011,730.105790632989
"245","PA","Allentown-Bethlehem-Easton, PA-NJ",310,9.4,"0.916","0.89",18.687139401605,367.930132144976,252.069867855025
